Statistics Summary

Team Statistics
Tutorial Group,Team Assigned,Size,Male Count,Female Count,Average GPA,Number of Different Schools
G-01,Team 01,5,3,2,4.14,5
G-01,Team 02,5,2,3,4.10,5
G-01,Team 03,5,2,3,4.08,5
G-01,Team 04,5,2,3,4.01,5
G-01,Team 05,5,2,3,4.07,5
G-01,Team 06,5,2,3,4.13,5
G-01,Team 07,5,2,3,4.18,5
G-01,Team 08,5,2,3,4.13,5
G-01,Team 09,5,2,3,4.05,5
G-01,Team 10,5,2,3,4.07,5

Overall Statistics for G-01
Total Students,50
Total Males,21
Total Females,29
Average GPA,4.10
Min GPA,4.01
Max GPA,4.18
Average GPA Deviation,0.038

G-02,Team 01,5,2,3,4.11,5
G-02,Team 02,5,2,3,4.07,5
G-02,Team 03,5,2,3,4.17,5
G-02,Team 04,5,2,3,4.16,5
G-02,Team 05,5,2,3,4.05,5
G-02,Team 06,5,2,3,4.03,3
G-02,Team 07,5,2,3,4.07,4
G-02,Team 08,5,2,3,4.08,5
G-02,Team 09,5,1,4,4.12,5
G-02,Team 10,5,1,4,4.03,5

Overall Statistics for G-02
Total Students,50
Total Males,18
Total Females,32
Average GPA,4.09
Min GPA,4.03
Max GPA,4.17
Average GPA Deviation,0.041

G-03,Team 01,5,3,2,4.15,5
G-03,Team 02,5,3,2,4.10,5
G-03,Team 03,5,3,2,4.05,5
G-03,Team 04,5,3,2,4.06,5
G-03,Team 05,5,3,2,4.08,3
G-03,Team 06,5,2,3,4.07,5
G-03,Team 07,5,2,3,4.10,5
G-03,Team 08,5,2,3,4.05,5
G-03,Team 09,5,2,3,4.22,5
G-03,Team 10,5,2,3,4.18,5

Overall Statistics for G-03
Total Students,50
Total Males,25
Total Females,25
Average GPA,4.11
Min GPA,4.05
Max GPA,4.22
Average GPA Deviation,0.047

G-04,Team 01,5,1,4,4.02,4
G-04,Team 02,5,2,3,4.09,4
G-04,Team 03,5,2,3,4.01,5
G-04,Team 04,5,2,3,4.09,5
G-04,Team 05,5,2,3,4.07,5
G-04,Team 06,5,2,3,4.16,5
G-04,Team 07,5,2,3,4.02,5
G-04,Team 08,5,1,4,4.14,5
G-04,Team 09,5,1,4,4.05,5
G-04,Team 10,5,1,4,4.13,5

Overall Statistics for G-04
Total Students,50
Total Males,16
Total Females,34
Average GPA,4.08
Min GPA,4.01
Max GPA,4.16
Average GPA Deviation,0.044

G-05,Team 01,5,2,3,4.10,4
G-05,Team 02,5,2,3,4.02,4
G-05,Team 03,5,2,3,4.06,5
G-05,Team 04,5,2,3,4.13,5
G-05,Team 05,5,2,3,4.08,5
G-05,Team 06,5,2,3,4.10,4
G-05,Team 07,5,2,3,4.12,5
G-05,Team 08,5,2,3,4.04,5
G-05,Team 09,5,1,4,4.07,5
G-05,Team 10,5,1,4,4.05,5

Overall Statistics for G-05
Total Students,50
Total Males,18
Total Females,32
Average GPA,4.08
Min GPA,4.02
Max GPA,4.13
Average GPA Deviation,0.029

